# =====================================================================
# Mode A - seed structural families (LABELED).
# Each family = one shared mathematical core; members are from DIFFERENT fields.
# role: member = genuine instance | distractor = same field, different math.
# method_named: yes/no/? - does the paper name the method (keep some 'no' rows;
#   they test real abstraction vs name-recognition, the "recognition cheat").
# columns: id,url,family,field,role,method_named,license,note
#
# v1 SEED (auto-curated from arXiv, each verified against its abstract).
# Known gaps to extend (see datasets/README + the chat hand-off):
#   - method_named=no exemplars per family (the anti-cheat ground truth) - needs
#     domain knowledge (e.g. a pharmacokinetics paper that is secretly a Kalman
#     filter but never says so).
#     Seeded for pharmacology/PK (traced from the vancomycin Bayesian-dosing
#     lineage; see the anti-cheat block at the bottom); other families still need them.
#   - rows marked method_named='?' need a quick membership vetting pass.
#   - more distractors welcome (target 1-2 per member).
# =====================================================================
id,url,family,field,role,method_named,license,note
sparse-finance-001,https://arxiv.org/abs/2412.19462,sparse_l1_lasso,finance,member,partial,arXiv,sparse/cardinality-constrained portfolio (difference-of-convex; not named LASSO)
sparse-finance-distractor-001,https://arxiv.org/abs/2009.03394,sparse_l1_lasso,finance,distractor,no,arXiv,trap: deep LSTM portfolio prediction (no L1/sparsity)
dp-bio-001,https://arxiv.org/abs/2205.07610,dynamic_programming_viterbi,bioinformatics,member,yes,arXiv,pairwise sequence alignment via DP recurrence (Needleman-Wunsch/Smith-Waterman style)
dp-speech-001,https://arxiv.org/abs/q-bio/0501006,dynamic_programming_viterbi,speech_nlp,member,yes,arXiv,Viterbi decoding of most probable state path through a trellis
dp-or-001,https://arxiv.org/abs/2505.06769,dynamic_programming_viterbi,operations_research,member,yes,arXiv,value iteration via Bellman backward updates over an MDP
dp-fin-001,https://arxiv.org/abs/1806.05579,dynamic_programming_viterbi,finance,member,yes,arXiv,American option optimal stopping by backward induction / DP time-stepping
dp-fin-distractor-001,https://arxiv.org/abs/1911.11362,dynamic_programming_viterbi,finance,distractor,no,arXiv,trap: regression-MC + neural-net static hedging (not backward induction)
# ===================================================================
# DEEPENING (2026-06): +2 cross-domain members per family (verified OA, agent-curated)
# ===================================================================
kalman-glaciology-002,https://arxiv.org/abs/2603.26947,recursive_bayes_kalman,glaciology,member,yes,arXiv,ensemble Kalman filter ice-sheet data assimilation
kalman-spacecraft-002,https://arxiv.org/abs/2003.12978,recursive_bayes_kalman,aerospace_attitude,member,yes,arXiv,geometric EKF on SE(3) for spacecraft attitude + gyro-bias
eigen-protein-002,https://arxiv.org/abs/1706.02327,eigenvector_centrality,protein_biochemistry,member,yes,arXiv,eigenvector centrality of an amino-acid mutual-information network (allostery)
eigen-fmri-002,https://pmc.ncbi.nlm.nih.gov/articles/PMC2860504/,eigenvector_centrality,neuroscience_fmri,member,yes,CC-BY,eigenvector centrality mapping of an fMRI connectivity matrix
gp-exoplanet-002,https://arxiv.org/abs/2207.12164,gaussian_process,astronomy_rv,member,yes,CC-BY-NC-ND,GP regression with a quasi-periodic kernel for stellar-activity radial velocity
gp-materials-002,https://arxiv.org/abs/2509.14408,gaussian_process,materials_science,member,yes,arXiv,deep GP surrogate for high-entropy alloy design
diff-oncology-002,https://arxiv.org/abs/2511.05312,diffusion_heat,oncology,member,yes,arXiv,time-fractional Fisher-KPP reaction-diffusion tumor growth
diff-anthropology-002,https://arxiv.org/abs/1812.04440,diffusion_heat,anthropology,member,yes,arXiv,reaction-diffusion KPP for Neolithic farmer spread
hmm-ecology-002,https://arxiv.org/abs/1612.06921,hmm,movement_ecology,member,yes,arXiv,hidden Markov movement model; latent behavioral states from tracks
hmm-proteomics-002,https://arxiv.org/abs/q-bio/0310026,hmm,structural_biology,member,partial,arXiv,HMM for protein secondary-structure prediction
em-physics-002,https://arxiv.org/abs/2104.07457,em_latent_mixture,nuclear_physics,member,yes,arXiv,EM on a Gaussian-mixture likelihood for positron emission particle tracking
em-astronomy-002,https://arxiv.org/abs/1205.6221,em_latent_mixture,astronomy,member,yes,arXiv,Gaussian mixture + EM for pulsar classification
mcmc-crypto-002,https://arxiv.org/abs/1501.05757,mcmc_metropolis,cryptography,member,yes,arXiv,Metropolis-Hastings lattice Gaussian sampling
mcmc-nlp-002,https://arxiv.org/abs/2406.00049,mcmc_metropolis,nlp_mt,member,yes,arXiv,Metropolis-Hastings sampling of MT hypotheses from a Gibbs distribution
pa-scientometrics-002,https://arxiv.org/abs/1710.08688,preferential_attachment,scientometrics,member,yes,arXiv,rich-get-richer citation/coauthorship growth with heavy tails
pa-web-002,https://arxiv.org/abs/1303.6271,preferential_attachment,web_social,member,yes,arXiv,empirical preferential attachment across 47 web/social datasets
replv-linguistics-002,https://arxiv.org/abs/2011.11768,replicator_lotka_volterra,sociolinguistics,member,yes,arXiv,replicator-mutator equation for linguistic convergence
replv-finance-002,https://arxiv.org/abs/2003.00886,replicator_lotka_volterra,finance_systemic_risk,member,yes,CC-BY,replicator dynamics for risky vs risk-free strategy adoption
pca-popgen-002,https://arxiv.org/abs/1301.4511,pca_svd_lowrank,population_genetics,member,yes,arXiv,PCA/eigenanalysis of SNP genotypes for subpopulation count
pca-spectroscopy-002,https://arxiv.org/abs/2304.07786,pca_svd_lowrank,analytical_chemistry,member,yes,arXiv,PCA chemometric dimensionality reduction on LIBS spectra
clf-cybersecurity-002,https://arxiv.org/abs/2308.11834,linear_text_classifier,cybersecurity,member,yes,arXiv,naive Bayes intrusion detection on network traffic features
clf-neurotech-002,https://pmc.ncbi.nlm.nih.gov/articles/PMC3772882/,linear_text_classifier,eeg_bci,member,yes,CC-BY,linear discriminant analysis classifying EEG features for a BCI
irt-baseball-002,https://arxiv.org/abs/1712.05879,irt_logistic_bradleyterry,baseball,member,yes,arXiv,Bradley-Terry; win prob is a sigmoid of latent team-strength difference
irt-education-002,https://arxiv.org/abs/2403.00680,irt_logistic_bradleyterry,education,member,yes,arXiv,IRT logistic latent-variable estimating ability and item difficulty
fft-neuro-002,https://arxiv.org/abs/1608.03464,fourier_spectral,neuroscience,member,yes,arXiv,EEG periodogram power spectral density for BCI
fft-gravwave-002,https://arxiv.org/abs/2508.11938,fourier_spectral,gravitational_wave,member,yes,arXiv,Welch periodogram PSD estimation of GW detector noise
sparse-genomics-002,https://pmc.ncbi.nlm.nih.gov/articles/PMC5860090/,sparse_l1_lasso,genomics,member,yes,CC-BY,LASSO L1-penalized SNP selection in GWAS
sparse-radioastro-002,https://arxiv.org/abs/0812.4933,sparse_l1_lasso,radio_astronomy,member,yes,arXiv,compressed-sensing L1 sparse image reconstruction in interferometry
dp-communications-002,https://arxiv.org/abs/2102.07315,dynamic_programming_viterbi,communications,member,yes,arXiv,Viterbi decoding of convolutional codes (best path through a trellis)
dp-linguistics-002,https://arxiv.org/abs/2509.01654,dynamic_programming_viterbi,computational_linguistics,member,partial,CC-BY,Needleman-Wunsch DP alignment for phonetic word similarity
pca-causal-001,https://arxiv.org/abs/1710.10251,pca_svd_lowrank,causal_inference,member,yes,arXiv,"Athey et al. matrix completion for causal panel data (low-rank/nuclear-norm imputation); documented import from recommender systems"
kalman-epidemic-001,https://doi.org/10.1073/pnas.1208772109,recursive_bayes_kalman,epidemiology,member,no,abstract-only,"Shaman & Karspeck flu forecasting via ensemble data assimilation (recursive Bayesian state/parameter estimation); names 'data assimilation', never 'Kalman'; documented import from numerical weather prediction; PNAS abstract-only"
ising-protein-001,https://arxiv.org/abs/1211.1281,inverse_ising_potts,structural_biology,member,yes,arXiv,"Ekeberg et al. pseudolikelihood inference of pairwise maximum-entropy (Potts) couplings for protein contacts; inverse statistical mechanics shared with statistical physics / neuroscience"
ising-neuro-001,https://arxiv.org/abs/1205.6438,inverse_ising_potts,neuroscience,member,partial,arXiv,"Stimulus-dependent pairwise maximum-entropy (inverse Ising) model of neural population activity; same inverse statistical mechanics as protein DCA; names 'maximum entropy', not 'Ising'"
hawkes-crime-001,https://doi.org/10.1198/jasa.2011.ap09546,hawkes_self_exciting,criminology,member,yes,abstract-only,"Mohler et al. self-exciting point process for crime, explicitly imported from seismology; JASA abstract-only"
hawkes-seismology-001,https://arxiv.org/abs/1706.08922,hawkes_self_exciting,seismology,member,yes,arXiv,"Spatially-variable ETAS (epidemic-type aftershock) estimation; the seismology self-exciting point process crime modeling imports"
ot-cosmology-001,https://arxiv.org/abs/astro-ph/0109483,optimal_transport,cosmology,member,yes,arXiv,"Frisch et al. reconstruct primordial conditions as an optimal mass-transport assignment; same transport optimization as ML/economics"
ot-ml-001,https://arxiv.org/abs/1306.0895,optimal_transport,machine_learning,member,yes,arXiv,"Cuturi entropic-regularized optimal transport (Sinkhorn scaling) as a histogram distance; same transport optimization as cosmological reconstruction"
